Unnamed: 0,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Status
6631,456765,1,655636,1765057053,1.0,3,0,-24.2001,-111.50200000000001,36.4502,-37.8151,supplementary
6843,456765,1,585395,1753978375,1.0,3,1,-24.2001,-111.50200000000001,-25.9271,-10.6685,supplementary
7388,456765,0,456798,1761704156,1.0,-1,-1,,,,,supplementary
7964,456765,1,655636,1764985114,1.0,3,0,-24.2001,-111.50200000000001,36.4502,-37.8151,supplementary
8901,456769,0,584811,1751365654,1.0,-1,-1,,,,,supplementary
9892,456772,1,456765,1749623974,1.0,0,3,34.5961,-40.4699,-24.2001,-111.50200000000001,supplementary
10502,456774,1,572500,1736005247,1.0,4,5,-1.0187700000000002,-161.435,20.9894,154.237,supplementary
10911,456774,1,456788,1766881461,1.0,4,2,-1.0187700000000002,-161.435,-17.7041,92.1276,supplementary
12579,456779,1,491352,1741528129,1.0,1,4,-31.6648,-14.4794,7.4648699999999995,-169.09900000000002,supplementary
16149,456788,1,456762,1739430753,1.0,2,4,-17.7041,92.1276,-2.92076,-162.173,supplementary
3054613,461719,1,476973,1735976447,1.0,1,4,-31.4594,-13.3089,-1.25603,-163.997,supplementary
3054880,461719,1,614986,1743404444,1.0,1,4,-31.4594,-13.3089,0.964232,-166.38099999999997,supplementary
4546929,476973,0,546999,1742785349,1.0,-1,-1,,,,,supplementary
5962138,479204,0,480375,1744334168,1.0,-1,-1,,,,,supplementary
6653834,480268,1,581406,1763867929,1.0,5,0,21.5557,155.289,30.7566,-39.3742,supplementary
6718531,480375,0,634283,1739430777,1.0,-1,-1,,,,,supplementary
6719165,480375,1,463126,1759882577,1.0,5,3,22.7442,157.989,-25.3485,-111.419,supplementary
8327425,482973,1,456780,1754189100,1.0,4,1,-2.2890099999999998,-165.239,-29.9937,-12.6794,supplementary
8327658,482973,1,456780,1754188370,1.0,4,1,-2.2890099999999998,-165.239,-29.9937,-12.6794,supplementary
13350048,491352,1,649553,1756379777,1.0,4,5,7.4648699999999995,-169.09900000000002,21.1925,153.287,supplementary
13350261,491352,1,482973,1763185729,1.0,4,4,7.4648699999999995,-169.09900000000002,-2.2890099999999998,-165.239,supplementary
13350559,491352,0,593266,1736318426,1.0,-1,-1,,,,,supplementary
19474464,500192,0,619270,1751332334,1.0,-1,-1,,,,,supplementary
19474795,500192,1,456760,1736041539,1.0,5,1,17.9672,160.224,-25.287,-13.9648,supplementary
19474975,500192,0,634283,1743418008,1.0,-1,-1,,,,,supplementary
19475756,500192,1,634283,1761442684,1.0,5,3,17.9672,160.224,-25.1589,-111.022,supplementary
19475901,500192,0,456797,1767170546,1.0,-1,-1,,,,,supplementary
24856332,508913,1,461719,1747207323,1.0,4,1,-0.809385,-167.229,-31.4594,-13.3089,supplementary
24857006,508913,1,615605,1741851541,1.0,4,5,-0.809385,-167.229,21.7308,153.632,supplementary
24857458,508913,1,456761,1743728598,1.0,4,4,-0.809385,-167.229,5.73393,-164.85,supplementary
24857655,508913,0,456761,1743904242,1.0,-1,-1,,,,,supplementary
30080388,463126,0,570284,1758081508,1.0,-1,-1,,,,,supplementary
30080643,463126,0,546999,1743488265,1.0,-1,-1,,,,,supplementary
30433649,516694,1,634283,1741754159,1.0,5,3,20.9029,154.839,-25.1589,-111.022,supplementary
30433936,516694,1,598220,1736501074,1.0,5,3,20.9029,154.839,-24.2846,-110.75399999999999,supplementary
50874630,546999,1,649553,1738200671,1.0,3,5,-23.788,-110.90700000000001,21.1925,153.287,supplementary
50875826,546999,1,536715,1737858873,1.0,3,5,-23.788,-110.90700000000001,20.9961,155.52700000000002,supplementary
50875889,546999,1,456788,1737550065,1.0,3,2,-23.788,-110.90700000000001,-17.7041,92.1276,supplementary
53711119,551810,0,497185,1755216012,1.0,-1,-1,,,,,supplementary
62212111,561312,0,581406,1766548838,1.0,-1,-1,,,,,supplementary
77496944,584811,0,456765,1755575148,1.0,-1,-1,,,,,supplementary
77845312,585395,1,614986,1754311636,1.0,1,4,-25.9271,-10.6685,0.964232,-166.38099999999997,supplementary
82605156,593266,1,561312,1748269657,1.0,5,3,23.715999999999998,158.593,-24.7653,-110.96600000000001,supplementary
96706172,614986,1,456761,1735899156,1.0,4,4,0.964232,-166.38099999999997,5.73393,-164.85,supplementary
99685025,619270,1,655636,1740968032,1.0,3,0,-25.3015,-111.04299999999999,36.4502,-37.8151,supplementary
111565557,638752,1,456794,1737601949,1.0,5,1,22.6482,156.841,-29.8927,-13.0867,supplementary
111565702,638752,0,645393,1742951720,1.0,-1,-1,,,,,supplementary
115625885,643925,0,638752,1750383030,1.0,-1,-1,,,,,supplementary
115626612,643925,1,456760,1745974111,1.0,5,1,22.8452,156.058,-25.287,-13.9648,supplementary
115626933,643925,1,508913,1743302885,1.0,5,4,22.8452,156.058,-0.809385,-167.229,supplementary
115627044,643925,1,556718,1739787607,1.0,5,4,22.8452,156.058,-0.9259930000000001,-173.05599999999998,supplementary
116491087,645393,0,600329,1757588408,1.0,-1,-1,,,,,supplementary
116492208,645393,0,570284,1764563193,1.0,-1,-1,,,,,supplementary
122646210,655636,1,556718,1764657933,1.0,0,4,36.4502,-37.8151,-0.9259930000000001,-173.05599999999998,supplementary
122646314,655636,1,480375,1764345274,1.0,0,5,36.4502,-37.8151,22.7442,157.989,supplementary
122646764,655636,0,480375,1744335366,1.0,-1,-1,,,,,supplementary
