NodeID,NodeType,edgeOrder,Country
572500,1,26,5
500192,1,15,5
480268,1,7,5
516694,1,36,5
615605,1,3,5
480375,1,8,5
638752,1,32,5
570284,1,12,
643925,1,28,5
649553,1,35,5
463126,1,33,
594766,1,22,3
561312,1,20,
546999,1,25,3
645393,1,39,
634283,1,38,
598220,1,44,
479204,1,2,
655636,1,19,0
636990,1,18,0
581406,1,30,0
551810,1,13,4
593266,1,34,5
584811,1,21,
508913,1,16,4
456780,1,45,
456772,1,1,0
456797,1,47,
614986,1,17,4
491352,1,27,4
585395,1,10,1
456760,1,43,
482973,1,0,4
456788,1,14,2
456779,1,4,1
456794,1,23,
456765,1,40,3
600329,1,6,
456774,1,9,4
497185,1,24,
456761,1,42,
456798,1,48,
556718,1,46,
476973,1,5,
619270,1,11,3
536715,1,31,
456762,1,41,
461719,1,37,1
456769,1,29,
