NodeID,NodeType,edgeOrder,Country
477769,1,18,5
572500,1,34,5
500192,1,28,5
480268,1,20,5
516694,1,17,5
615605,1,22,5
480375,1,5,5
476124,1,38,5
638752,1,16,5
545850,1,46,
463126,1,31,
594766,1,36,3
561312,1,7,
546999,1,12,3
645393,1,33,3
634283,1,44,
598220,1,39,
479204,1,4,
655636,1,3,0
636990,1,9,0
581406,1,11,0
519424,1,10,4
558277,1,27,4
551810,1,8,4
593266,1,30,5
584811,1,43,
568093,1,14,0
629627,1,13,
599441,1,32,4
547661,1,19,
508951,1,42,
457699,1,26,2
482973,1,47,
597992,1,0,4
646838,1,35,3
652002,1,37,
461245,1,1,3
612378,1,41,
459691,1,24,4
494556,1,40,
494508,1,6,2
600329,1,23,0
497185,1,2,
566386,1,25,3
559042,1,21,3
536893,1,48,
457397,1,15,4
536715,1,45,
634303,1,29,5
