Unnamed: 0,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Status
4276,456761,1,508659,1749273793,1.0,4,1,5.73393,-164.85,-30.3708,-12.6149,supplementary
186651,457058,1,464993,1739413942,1.0,2,4,-20.0432,91.2884,-3.0525700000000002,-163.531,supplementary
187399,457058,1,464993,1749445978,1.0,2,4,-20.0432,91.2884,-3.0525700000000002,-163.531,supplementary
188214,457058,1,475890,1744896890,1.0,2,5,-20.0432,91.2884,23.7659,152.153,supplementary
188738,457058,0,483282,1745293877,1.0,-1,-1,,,,,supplementary
189168,457058,1,483282,1766632828,1.0,2,2,-20.0432,91.2884,-22.0344,96.17200000000001,supplementary
192247,457058,1,464993,1749474402,1.0,2,4,-20.0432,91.2884,-3.0525700000000002,-163.531,supplementary
192308,457058,0,483282,1748498451,1.0,-1,-1,,,,,supplementary
274096,457170,0,458511,1762335162,1.0,-1,-1,,,,,supplementary
274419,457170,0,483282,1764772233,1.0,-1,-1,,,,,supplementary
275604,457170,1,458511,1747018240,1.0,5,2,20.2241,151.368,-20.1952,92.3418,supplementary
1155754,458511,1,457058,1750866736,1.0,2,2,-20.1952,92.3418,-20.0432,91.2884,supplementary
1229636,458640,1,483282,1742369519,1.0,1,2,-29.8264,-14.8811,-22.0344,96.17200000000001,supplementary
1230604,458640,1,483282,1762755613,1.0,1,2,-29.8264,-14.8811,-22.0344,96.17200000000001,supplementary
2306639,460478,0,458511,1745306573,1.0,-1,-1,,,,,supplementary
2310211,460478,0,608508,1746177615,1.0,-1,-1,,,,,supplementary
2310708,460478,1,483282,1759026192,1.0,4,2,4.54364,-163.755,-22.0344,96.17200000000001,supplementary
3794207,475890,0,483282,1743364638,1.0,-1,-1,,,,,supplementary
3794241,475890,0,545211,1742264607,1.0,-1,-1,,,,,supplementary
3795577,475890,1,608508,1739762691,1.0,5,3,23.7659,152.153,-24.8099,-111.62899999999999,supplementary
8508650,483282,1,458640,1745990633,1.0,2,1,-22.0344,96.17200000000001,-29.8264,-14.8811,supplementary
8508754,483282,1,460478,1756259099,1.0,2,4,-22.0344,96.17200000000001,4.54364,-163.755,supplementary
8510430,483282,1,483282,1763817636,1.0,2,2,-22.0344,96.17200000000001,-22.0344,96.17200000000001,supplementary
8516385,483282,1,483282,1766838997,1.0,2,2,-22.0344,96.17200000000001,-22.0344,96.17200000000001,supplementary
8519063,483282,1,508659,1747300823,1.0,2,1,-22.0344,96.17200000000001,-30.3708,-12.6149,supplementary
24662403,508659,1,475890,1762983520,1.0,1,5,-30.3708,-12.6149,23.7659,152.153,supplementary
24662464,508659,1,608508,1762747938,1.0,1,3,-30.3708,-12.6149,-24.8099,-111.62899999999999,supplementary
24663925,508659,1,457002,1743209156,1.0,1,3,-30.3708,-12.6149,-25.35,-112.53,supplementary
24666426,508659,0,483282,1739181731,1.0,-1,-1,,,,,supplementary
24667770,508659,1,456761,1747113581,1.0,1,4,-30.3708,-12.6149,5.73393,-164.85,supplementary
24672677,508659,1,460478,1741149989,1.0,1,4,-30.3708,-12.6149,4.54364,-163.755,supplementary
24676706,508659,1,545211,1761354405,1.0,1,2,-30.3708,-12.6149,-24.8311,88.65100000000001,supplementary
49765604,545211,1,457002,1746428077,1.0,2,3,-24.8311,88.65100000000001,-25.35,-112.53,supplementary
49767636,545211,0,475890,1763347330,1.0,-1,-1,,,,,supplementary
49768311,545211,0,545211,1745467416,1.0,-1,-1,,,,,supplementary
49769595,545211,1,458511,1741767874,1.0,2,2,-24.8311,88.65100000000001,-20.1952,92.3418,supplementary
49769627,545211,1,508659,1737678864,1.0,2,1,-24.8311,88.65100000000001,-30.3708,-12.6149,supplementary
49773027,545211,1,494508,1736607830,1.0,2,2,-24.8311,88.65100000000001,-22.5174,90.2463,supplementary
49773352,545211,1,494508,1738151680,1.0,2,2,-24.8311,88.65100000000001,-22.5174,90.2463,supplementary
81955641,592124,0,483282,1752380378,1.0,-1,-1,,,,,supplementary
92731234,608508,1,458511,1763945113,1.0,3,2,-24.8099,-111.62899999999999,-20.1952,92.3418,supplementary
92731732,608508,0,457002,1764033041,1.0,-1,-1,,,,,supplementary
92738363,608508,0,475890,1744094930,1.0,-1,-1,,,,,supplementary
92738484,608508,0,604379,1763632115,1.0,-1,-1,,,,,supplementary
