templateID,candidateID,Financial profile,Travel profile,Graphlet profile,Temporal profile,templateEdgeOrder,candidateEdgeOrder
0,475890,0.7940391642885521,,0.9761904800000001,,3,2
27,604379,0.46170752998761366,,0.95238096,0.9083144251320057,14,16
34,457170,0.8392138659388177,,0.9285714300000001,,4,0
37,508659,0.7121789766065725,,0.95238096,,7,6
39,458511,0.7495283857160817,0.09090909090909093,0.9761904800000001,,2,12
40,592124,0.7056010282239474,0.0,0.9761904800000001,,13,8
41,494508,0.6767124600363937,0.14285714285714285,0.95238096,0.8259895511722002,8,10
43,457058,0.8281382546846043,,0.9285714300000001,,5,4
45,608508,0.5964421535730738,,0.95238096,0.8948079715902029,6,14
47,545211,0.8929738157124318,,0.95238096,,10,3
56,464993,0.27379986507614984,,0.9285714300000001,,9,9
57,483282,0.4365353155769529,,0.9761904800000001,,12,13
58,460478,0.9537985543480081,,0.9285714300000001,,1,11
63,458640,0.47064769110295757,,0.9285714300000001,,0,15
65,559853,0.3490973077990964,,0.9761904800000001,,11,5
66,456761,,,0.5,,15,1
67,457002,,,0.5,0.7380412146628733,16,7
