NodeID,NodeType,edgeOrder,Country
477769,1,35,
572500,1,2,5
500192,1,41,
480268,1,18,
516694,1,39,
615605,1,10,5
480375,1,48,
476124,1,40,
638752,1,8,5
545850,1,33,
570284,1,0,
643925,1,14,5
649553,1,6,5
463126,1,25,
604223,1,13,3
573206,1,26,
594766,1,7,3
561312,1,30,
546999,1,9,3
645393,1,21,
634283,1,32,
598220,1,37,
479204,1,42,
510483,1,22,
655636,1,23,
636990,1,4,0
581406,1,11,0
519424,1,12,4
558277,1,34,
562598,1,31,
492937,1,17,
513182,1,29,
551810,1,5,4
617074,1,45,
593266,1,16,5
584811,1,3,
568093,1,28,
464459,1,36,
635665,1,20,
629627,1,49,
534034,1,24,
599441,1,27,
585212,1,50,
538892,1,19,
572391,1,43,
542965,1,46,
612711,1,44,
643411,1,38,
598006,1,47,
570847,1,15,
595104,1,1,
